trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
35,0,35,0,10,100.99008670006879,100.99008670006879,0.09361049998551607,102.05666760005988,[-0.14351851851851852],[0.028935185185185185],[1],[0],[0],[1.7922408999875188],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
36,0,36,0,10,102.92155930004083,102.92155930004083,0.11407650006003678,103.95488760014996,[0.4791666666666667],[0.30324074074074076],[1],[0],[0],[2.7371827999595553],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
37,0,37,0,5,105.68542640004307,105.68542640004307,0.032219599932432175,106.70239230012521,[-0.43171296296296297],[0.09490740740740741],[1],[0],[0],[2.011014500167221],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
38,0,38,0,10,107.80037680012174,107.80037680012174,0.09240119997411966,108.85024080006406,[0.4479166666666667],[-0.4039351851851852],[1],[0],[0],[2.677538499934599],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
39,0,39,0,5,110.56412710016593,110.56412710016593,0.06426850007846951,111.5976395001635,[0.11805555555555555],[-0.24768518518518517],[1],[0],[0],[2.1385636997874826],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
40,0,40,0,10,112.79565270012245,112.79565270012245,0.08096019993536174,113.84621980017982,[0.037037037037037035],[-0.35532407407407407],[1],[0],[0],[2.1866184000391513],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
41,0,41,0,5,115.07679100008681,115.07679100008681,0.08481460018083453,116.1095300000161,[-0.3101851851851852],[-0.3020833333333333],[1],[0],[0],[1.6029618000611663],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
42,0,42,0,10,116.91038260003552,116.91038260003552,0.1247072999831289,117.94095910014585,[0.2013888888888889],[0.24074074074074073],[1],[0],[0],[3.142463200027123],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
43,0,43,0,5,120.039954100037,120.039954100037,0.060899300035089254,121.05600180011243,[-0.26157407407407407],[0.4861111111111111],[1],[0],[0],[2.1619682998862118],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
44,0,44,0,10,122.30338940001093,122.30338940001093,0.09662680001929402,123.35374010005035,[0.4756944444444444],[0.013888888888888888],[1],[0],[0],[1.835338099859655],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
45,0,45,0,5,124.21804300020449,124.21804300020449,0.06638570013456047,125.23536040005274,[0.41087962962962965],[-0.03356481481481482],[1],[0],[0],[1.6535204998217523],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
46,0,46,0,10,125.94993690005504,125.94993690005504,0.07561179995536804,127.01675579999574,[0.20833333333333334],[-0.03356481481481482],[1],[0],[0],[2.0411743000149727],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
47,0,47,0,5,128.047992200125,128.047992200125,0.04958739993162453,129.06500060018152,[-0.08333333333333333],[0.2777777777777778],[1],[0],[0],[2.5231168000027537],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
48,0,48,0,10,130.67884290008806,130.67884290008806,0.08878879994153976,131.74585550022312,[-0.037037037037037035],[-0.37037037037037035],[1],[0],[0],[1.5405417999718338],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
49,0,49,0,10,132.36047810013406,132.36047810013406,0.11701539997011423,133.39378060004674,[0.3472222222222222],[-0.2951388888888889],[1],[0],[0],[1.9208028998691589],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
50,0,50,0,5,134.3596578000579,134.3596578000579,0.0639048998709768,135.37619960005395,[0.36921296296296297],[0.3854166666666667],[1],[0],[0],[2.40403959993273],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
