pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,34,1,137,1,,,,,405.07349029998295,406.07265410001855,406.07265410001855,406.07265410001855,406.07265410001855,406.10609650000697,407.0717341999989,407.0717341999989,v,1,0.3127033999771811,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,34,2,138,2,,,,,407.4378583999933,408.4368238999741,408.4368238999741,408.4368238999741,408.4368238999741,408.47020059998613,409.43598920002114,409.43598920002114,c,1,0.3143741999519989,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,34,3,139,3,,,,,409.802302600001,410.80209080001805,410.80209080001805,410.80209080001805,410.80209080001805,410.83511119999457,411.8173654000275,411.8173654000275,z,1,0.32237770000938326,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,35,0,140,0,,,,,412.1835675999755,413.1676575000165,413.1676575000165,413.1676575000165,413.1676575000165,413.1993282000185,414.1983586999704,414.1983586999704,x,1,0.27364959998521954,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,35,1,141,1,,,,,414.5314956000075,415.5310598000069,415.5310598000069,415.5310598000069,415.5310598000069,415.5636557000107,416.5464496000204,416.5464496000204,v,1,0.5515676999930292,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,35,2,142,2,,,,,417.14616699999897,418.14464339998085,418.14464339998085,418.14464339998085,418.14464339998085,418.1779768000124,419.1438769000233,419.1438769000233,c,1,0.38281830004416406,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,35,3,143,3,,,,,419.5766385999741,420.57564519997686,420.57564519997686,420.57564519997686,420.57564519997686,420.60906669998076,421.57496950001223,421.57496950001223,z,1,0.5269723999663256,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,36,0,144,0,,,,,422.1409032000229,423.1399889999884,423.1399889999884,423.1399889999884,423.1399889999884,423.173418499995,424.13923829997657,424.13923829997657,x,1,0.28206639998825267,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,36,1,145,1,,,,,424.4724221000215,425.47122850001324,425.47122850001324,425.47122850001324,425.47122850001324,425.50432549999095,426.47011310001835,426.47011310001835,v,1,0.2948799000005238,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,36,2,146,2,,,,,426.80306459998246,427.80217669997364,427.80217669997364,427.80217669997364,427.80217669997364,427.83532259997446,428.80158289999235,428.80158289999235,c,1,0.27770660002715886,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
