trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
24,0,24,0,348.1311635999009,349.1335557999555,up,0,0.8474997002631426,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
25,0,25,0,349.9963379998226,350.998177499976,up,1,0.9233677999582142,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
26,0,26,0,351.9444534999784,352.962949299952,down,0,2.1145641000475734,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
27,0,27,0,355.091785099823,356.0935260998085,down,0,1.532399700023234,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
28,0,28,0,357.63887189980596,358.64109979989007,up,1,0.6994560002349317,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
29,0,29,0,359.3539995998144,360.356433799956,up,1,1.389939300250262,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
30,0,30,0,361.76827569981106,362.7707338000182,down,0,0.7727597001940012,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
31,0,31,0,363.56704410002567,364.56901589990593,up,0,1.3482282999902964,None,2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
32,0,32,0,365.93143999995664,366.9503764999099,down,0,1.3820269003044814,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
33,0,33,0,368.3626198999118,369.38100139983,down,0,0.634751700097695,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
34,0,34,0,370.0447002998553,371.0633272998966,down,1,0.7647235002368689,None,-2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
35,0,35,0,371.8259860998951,372.82772589987144,up,0,0.8222743002697825,None,2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
36,0,36,0,373.6740071999375,374.67595339985564,up,1,0.8043451001867652,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
37,0,37,0,375.50570759992115,376.5247132999357,up,1,0.9821500000543892,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
38,0,38,0,377.52029509982094,378.5224120998755,down,1,0.5871288001071662,None,4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
39,0,39,0,379.13595429994166,380.13768649986014,up,1,1.1410590000450611,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
